 1	10000	       0.133400	         1.#J
 1	50000	       0.131460	        25.00
 1	100000	       0.131070	        20.00
 1	1000000	       0.131004	        20.00
 2	10000	       0.138300	         1.#J
 2	50000	       0.128840	        50.00
 2	100000	       0.129450	        50.00
 2	1000000	       0.130314	        40.00
 3	10000	       0.136400	         1.#J
 3	50000	       0.131000	        50.00
 3	100000	       0.133010	       100.01
 3	1000000	       0.131309	        58.82
 4	10000	       0.135300	         1.#J
 4	50000	       0.129820	         1.#J
 4	100000	       0.130760	       100.01
 4	1000000	       0.131102	        83.33
 5	10000	       0.131200	         1.#J
 5	50000	       0.131980	         1.#J
 5	100000	       0.130850	       100.01
 5	1000000	       0.130939	       100.00
 6	10000	       0.129600	         1.#J
 6	50000	       0.130820	         1.#J
 6	100000	       0.130400	         1.#J
 6	1000000	       0.131099	       111.11
