 1    1000	781.47      3334.60   4.27    1161.43   1.49
 1    8000	821.77      3542.97   4.31    2769.16   3.37
 1    10000	821.97      3547.80   4.32    2893.01   3.52
 1    80000	809.24      2717.56   3.36    2606.80   3.22
 1    100000	773.70      2780.99   3.59    2680.17   3.46
 1    800000	729.17      2075.40   2.85    2039.45   2.80
 1    1000000	779.08      2520.75   3.24    2647.73   3.40
 1    4000000	713.28      1318.97   1.85    1301.80   1.83
 1    8000000	706.77      1285.61   1.82    1302.12   1.84

 2    1000	780.90      3334.60   4.27     756.96   0.97
 2    8000	786.98      3373.89   4.29    2921.75   3.71
 2    10000	787.03      3394.69   4.31    3115.46   3.96
 2    80000	809.13      2805.84   3.47    5204.92   6.43
 2    100000	809.28      2839.12   3.51    5007.66   6.19
 2    800000	787.17      2964.86   3.77    5478.33   6.96
 2    1000000	743.14      2689.74   3.62    4844.05   6.52
 2    4000000	697.17      1292.38   1.85    1902.96   2.73
 2    8000000	656.93       971.06   1.48    1198.82   1.82

 3    1000	818.40      3508.96   4.29     589.97   0.72
 3    8000	821.73      3514.70   4.28    3570.21   4.34
 3    10000	786.97      3386.66   4.30    3831.37   4.87
 3    80000	773.61      2749.44   3.55    7395.23   9.56
 3    100000	773.81      2734.78   3.53    7303.37   9.44
 3    800000	453.91      1713.87   3.78    4690.06  10.33
 3    1000000	415.29      1515.80   3.65    4243.18  10.22
 3    4000000	697.27      1236.39   1.77    2128.35   3.05
 3    8000000	698.38      1244.02   1.78    1704.46   2.44

 4    1000	819.03      3508.96   4.28     571.14   0.70
 4    8000	786.73      3365.30   4.28    3420.24   4.35
 4    10000	822.57      3547.21   4.31    4221.51   5.13
 4    80000	773.21      2683.81   3.47   10743.46  13.89
 4    100000	424.56      1599.44   3.77    5974.86  14.07
 4    800000	734.29      2404.44   3.27    6760.08   9.21
 4    1000000	449.18      2767.75   6.16    7650.00  17.03
 4    4000000	701.73      1276.63   1.82    1929.37   2.75
 4    8000000	640.70      1305.79   2.04    2067.03   3.23

 5    1000	818.40      3508.96   4.29     504.58   0.62
 5    8000	786.77      3373.89   4.29    3140.74   3.99
 5    10000	821.85      3536.12   4.30    4127.40   5.02
 5    80000	773.26      2559.27   3.31   11547.16  14.93
 5    100000	808.37      2742.95   3.39   12336.19  15.26
 5    800000	789.89      2940.99   3.72   11953.38  15.13
 5    1000000	788.12      2687.91   3.41   11574.86  14.69
 5    4000000	706.73      1385.27   1.96    2521.23   3.57
 5    8000000	701.17      1280.06   1.83    2414.17   3.44

 6    1000	818.40      3334.60   4.07     472.60   0.58
 6    8000	786.62      2335.17   2.97    2765.59   3.52
 6    10000	607.47      2613.15   4.30    3740.61   6.16
 6    80000	602.04      2209.94   3.67   10750.18  17.86
 6    100000	773.46      2701.78   3.49   13504.49  17.46
 6    800000	785.32      2807.34   3.57   12383.76  15.77
 6    1000000	778.85      2607.98   3.35   12523.96  16.08
 6    4000000	703.55      1323.12   1.88    2865.83   4.07
 6    8000000	663.26      1247.16   1.88    2751.59   4.15

